name,kitchen,webpage,hidden,music_type,type,address
nouhau салон,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София ул. Георги С. Раковски 201а"
+ това,Няма,"Начало / Изложби / Галерии Начало / Заведения / Кафетерии",FALSE,Няма,"Галерии, музеи, зали","София ул. Марин Дринов 30"
359,Няма,Начало / Изложби / Галерии,FALSE,Няма,"Галерии, музеи, зали","София ул. Галичица 21"
087 Ялта,Няма,Начало / Кино / Kино салони,TRUE,Няма,Кина,"София бул. Цар Освободител 20; подлеза на СУ"
0gms,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София ул. Любен Каравелов 12, ап. 11"
0gms-чекмедже,Няма,Няма,FALSE,Няма,"Галерии, музеи, зали","София бул. Васил Левски, 134"
100 +,Няма,Начало / Изложби / Галерии,TRUE,Няма,"Галерии, музеи, зали","София бул. Дондуков 56"
"100 грама сладки Gelato, eclairs, macarons","френска кухня, италианска,",Начало / Заведения / Сладкарници,TRUE,Няма,Ресторанти,"София ул. Шишман 22"
100 грама сладки LAB,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София кв. Гео Милев, ул.Коста Лулчев 25"
100 грама сладки Ангел Кънчев,"френска кухня, италианска,",Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София ул. Ангел Кънчев 18А"
100 грама сладки Бизнес парк,"френска кухня, италианска,",Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София ж.к. Младост 4, бл. 459 срещу вход 1 на Бизнес Парк София"
100 грама сладки Джеймс Баучер,"френска кухня, италианска,",Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София ул. Джеймс Баучер 114"
100 грама сладки Мол Парк Център,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София бул. Арсеналски 2, ет. 1, Централно фоайе"
100 грама сладки Мол София,"френска кухня, италианска,",Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София Мол София, бул. Ал. Стамболийски"
100 грама сладки Парадайс,"френска кухня, италианска,",Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София Мол Пaрадайс, бул. Черни Връх 100"
100 грама сладки Редута,"френска кухня, италианска,",Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София ул. Марагидик 34"
100 грама сладки Сердика,"френска кухня, италианска,",Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София Сердика център, бул. Ситняково 48"
100 грама сладки Симеоновско шосе,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София бул. Симеоновско шосе 110"
100 грама сладки Шипка,Няма,Начало / Заведения / Сладкарници,FALSE,Няма,Ресторанти,"София ул. Шипка 12"
11 август,Няма,Начало / Изложби / Галерии,FALSE,Няма,"Галерии, музеи, зали","София ул. 11 август 10"
120 ОУ Г. С. Раковски,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София пл. Папа Йоан Павел II 7"
150 Before & After,Няма,Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София бул. Цариградско шосе 47А (откъм ул. Николай Ракитин)"
1516,Няма,Начало / Заведения / Бирарии,FALSE,Няма,Ресторанти,"София ул. Цар Асен 2А"
163 ОУ Черноризец Храбър,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,"София ж.к. Дружба 2, 3 част"
20 30 Brasserie,"интернационална,",Начало / Заведения / Ресторанти,TRUE,Няма,Ресторанти,"София ул. Банат 1"
20:19,Няма,Начало / Слово / Културни центрове,FALSE,Няма,"Галерии, музеи, зали","София ул. Шандор Петьофи 55"
23 СОУ Фредерик Жолио Кюри,Няма,Начало / Слово / Други места,FALSE,Няма,Други места,
2night Double Piano Fashion Club & Karaoke,Няма,Начало / Заведения / Kлубове,TRUE,"рок, поп, ретро,",Клубове и барове,"София 1407 кв. Лозенец, бул. Черни връх 47"
33 Gastronauts,"средиземноморска, европейска, френска кухня, италианска, гръцка кухня,",Начало / Заведения / Ресторанти,FALSE,Няма,Ресторанти,"София 1504 ул. Професор Асен Златаров 14"
365,Няма,Начало / Заведения / Kлубове,TRUE,Няма,Клубове и барове,"София ул. Шипка 1"
